,LINEOUT AVG,LINEOUT STD
0,10131.865074800506,370.2015186665671
1,18230.30070573795,416.9497942923758
2,25373.756370596308,453.1292794470888
3,29616.21423220306,444.14272459456294
4,30681.250133362704,499.34711566295783
5,31006.00276686983,488.00642519865636
6,30907.60758791232,481.02033649678845
7,30976.686141997627,472.61019006895583
8,31091.65857650882,456.368334707815
9,30975.9049295603,484.4738740294104
10,30861.53263238827,497.6542187068811
11,30847.739032465375,471.8720798644642
12,30800.355210687812,486.5322007753182
13,30783.584238151536,453.53380537592926
14,30693.78995275306,494.2545449692901
15,30643.708208129283,502.2510416972938
16,30479.887259244202,464.07308165389765
17,30444.021633541706,481.56185085597485
18,30388.48868087888,482.9162304070617
19,30336.984102696355,481.17121035814534
20,30192.420513929283,473.32200439488673
21,30157.40513464412,463.2990601669433
22,30032.92931239878,478.2604535819564
23,30028.776929622607,487.7900114407698
24,29851.89286376442,461.00540331396127
25,29822.31866876769,470.51289195977336
26,29755.180842139434,470.91772743587063
27,29581.623689340686,490.30747552397753
28,29562.3782658734,486.7519743991423
29,29467.217580623896,479.21359539740337
30,29244.488456755127,437.5699732619019
31,29160.721580030724,465.5899748799176
32,29101.446504059604,478.1906826401395
33,28970.35268558296,461.1399996748503
34,28904.15195704699,445.44926442385355
35,28877.354298229613,436.4226118454956
36,28737.371266414313,464.5005406892486
37,28789.50253758977,482.8751107682242
38,28721.88701526072,465.22998340000476
39,28681.981044481647,433.53195451990234
40,28609.045358615822,466.6463358049856
41,28477.788536328608,434.97596732497374
42,28373.06210355323,449.7135180394836
43,28408.88737781436,486.4412079000069
44,28357.069126875464,447.0614103974548
45,28170.47464416982,443.5930469624796
46,28024.156084682912,461.82065052510586
47,27895.6572444867,450.27846414767157
48,27835.862793460437,472.6402665369934
49,27687.725202590304,451.2285339269357
50,27748.22196434949,470.46455658930574
51,27672.901287929562,456.45863137859686
52,27643.80567739501,472.3930423367702
53,27613.6859939176,546.9820783426023
54,27608.972490423326,442.7027279998051
55,27635.59737065292,446.326909357259
56,27620.14902510951,449.3642650713581
57,27378.62217372163,453.72789401358443
58,27268.04322808567,434.55441179238176
59,27256.066362052818,456.57431015261045
60,27190.594863891984,456.9949406352162
61,27141.211838040457,438.53367996472963
62,26914.780784839593,431.37257623919095
63,26962.926597150086,453.0023002385112
64,26890.733312662866,453.05899502613016
65,26917.938526102906,438.3049717162288
66,26807.15619870184,468.3546543180484
67,26741.974074148857,444.17145356516784
68,26703.232975509763,447.3789860519556
69,26529.674867449616,421.05477780709737
70,26462.449854036084,437.5969267092165
71,26373.833292767533,439.43921961257644
72,26324.92728696212,451.88596689533125
73,26368.274669157636,438.42434181361523
74,26319.227657387408,474.22144211962046
75,26217.109152931065,463.01531556790553
76,26081.028413557164,436.9471361520446
77,26047.440000045284,447.413415225173
78,25953.07865420438,437.5716789615485
79,25965.223332187907,427.7348756863568
80,25944.864687775134,539.1522728209994
81,25761.427701887445,439.0886835324176
82,25646.481161659976,453.08126252033804
83,25537.031238410844,434.8024138914455
84,25468.21517842173,411.8552687973841
85,25479.95944486317,424.3698878981506
86,25379.16819343702,443.7935520031824
87,25321.237641125685,411.72189321675825
88,25304.758606286254,406.186791488276
89,24989.378677245168,419.6141017977804
90,25108.970002515074,423.45047368620385
