,LINEOUT AVG,LINEOUT STD
0,7177.922840082829,291.1606053982199
1,10038.77699837141,317.20959950457456
2,11478.158007171978,314.11589525275565
3,11892.067601894036,332.8360743208001
4,11964.595869694995,339.50088053431693
5,12012.367066017441,346.90782673558743
6,12078.56730823032,302.24284805005783
7,12079.25906963793,333.83734016541536
8,12157.502437756611,337.7265274295299
9,12192.617636849303,336.73958515667374
10,12216.616437380708,325.4061144506873
11,12195.140301723797,323.91451152800835
12,12268.093140855566,337.4874760388209
13,12260.837881291562,333.3736160984648
14,12370.844510941577,345.82561413587894
15,12387.6853236914,338.9732585394959
16,12374.134731200207,325.6049878413031
17,12441.137339937615,345.7627216216976
18,12455.50225535249,310.03793446060433
19,12500.484238812393,337.07575360133364
20,12526.346505874413,338.251540810303
21,12553.277044627841,354.4700604067051
22,12595.104721356882,348.2754814971748
23,12673.964705359622,329.6044857136765
24,12677.44893100154,339.0430172234566
25,12793.21151571294,324.04021607214105
26,12825.292606540774,342.59588613889923
27,12857.791266719603,328.72712887099794
28,12878.701307382009,325.47695994515954
29,12929.164483162069,327.6657654056277
30,13032.818557629083,360.8431965371087
31,12940.357029017414,340.52638475688855
32,13020.948072901574,311.64931779793574
33,13064.034172263855,347.36717052821126
34,13114.05531708195,350.1021080168196
35,13116.830409066075,342.0213202095146
36,13221.65752860978,348.2996368745967
37,13300.862877182728,357.9547690750813
38,13276.945373311502,328.0906609275405
39,13326.648395401146,340.11223807252975
40,13340.911773795366,353.40044921658955
41,13381.246905383794,349.20824570726967
42,13452.343038648416,334.6695883294108
43,13550.49565127171,348.1776135886768
44,13541.544185970544,342.0713357614223
45,13513.457087453404,348.5213122376753
46,13541.984342700805,334.4994859540871
47,13698.78807955233,327.45525021727957
48,13677.27376268091,327.8104104357483
49,13792.355467129593,345.56492219971165
50,13790.736116904845,331.95912245838736
51,13869.92548571883,350.93735821371615
52,13809.798666260209,341.48959295510485
53,13885.88370724146,358.2471510541199
54,13883.972071795917,333.6017744450567
55,13971.0004930308,345.4109474799933
56,14017.511059471362,346.96748416717304
57,14051.76813644445,361.4365715423011
58,14149.534981021936,351.40756136469054
59,14181.608248212233,365.28897909705324
60,14209.220063524572,366.1862420044314
61,14275.192586692347,345.51451898409107
62,14369.11230406509,380.3664637687541
63,14413.66287136817,370.27621740390384
64,14370.17184058342,382.1869946969242
65,14487.966846984356,377.5927338587902
66,14494.567991775799,369.13894822208874
67,14594.047707980775,387.49219996241095
68,14564.89753223693,349.50786411395825
69,14653.430311695558,351.2840061080568
70,14635.16841826764,361.07960031081706
71,14709.368419343566,338.44694903459265
72,14704.709911464914,360.2064525642912
73,14765.300138849616,368.50157784326376
74,14830.745401539396,377.1964813245781
75,14843.278743650817,367.59530877724023
76,14991.579789102656,345.5245148449083
77,14961.839033976816,366.4680366164412
78,15029.574938795238,373.31683015886165
79,15074.995132257603,357.16531507146965
80,15104.704913103164,384.4742403185334
81,15023.607742831598,399.07290159397786
82,14964.905650054254,350.97295541910705
83,14949.537694834973,376.9211431369972
84,14875.009913911585,348.3024802429942
85,14823.382302319851,355.31948133955365
86,14931.795985962364,427.8752699560299
87,14968.733165961661,370.44749914195154
88,14947.842673445786,361.6096826531918
89,15040.866906072108,337.59216138374916
90,15239.090294227375,372.707799343278
91,15325.143634900021,362.72573033161484
92,15344.79635569145,354.85486206372934
93,15512.521564414106,376.8495254325959
94,15678.128886313652,383.9093758802702
95,15899.68041771378,357.375492343838
96,15881.93571412157,386.23187408067537
97,15986.943090539506,376.3517815450255
98,16056.451479239824,356.1758488862086
99,16107.333955754504,383.9178959713613
100,16153.298271329719,354.27450088118655
101,16189.318442518785,374.3261950005744
102,16313.583700414372,378.1166886942609
103,16366.905056913234,371.9216825328613
104,16480.856093189304,395.6413239556815
105,16487.286002322824,366.28589282609454
106,16643.624530312714,378.6710276931481
107,16600.668539370334,382.341011266221
108,16728.193021289433,375.79035078183625
109,16817.722260118404,388.91673467001027
110,16779.59315761181,373.2286120155312
111,16890.561817103484,375.1009123541612
112,16929.93629610614,399.8676229998665
113,17092.583845866637,392.62478641345064
114,17023.529219135573,387.6979665669596
115,17112.085355380506,388.00168135318637
116,17173.270550534475,380.07530014929716
117,17277.4057797999,368.44519967313914
118,17333.972967480837,372.89239056785584
119,17362.995541756292,386.49388736247823
120,17442.31319114796,391.07981425057324
121,17557.36003445871,375.60398710152487
122,17605.62844456346,402.48524257472343
123,17673.26798286242,382.15418097440363
124,17764.186758374264,401.90463271762394
125,17795.215049444665,390.06752826147374
126,17944.12308684518,383.6019803254823
127,17998.15369527819,390.0541472067986
128,18129.41467688548,385.03970834135134
129,18099.207265895173,405.25406559161183
130,18252.54463667036,405.073551344496
131,18323.399716573753,388.09050916879704
132,18274.739257332232,401.2896985220364
133,18388.361509767048,394.01487150109773
134,18407.846965964665,386.21420329859967
135,18472.004112394283,402.48766956872964
136,18584.647341771535,391.81396748492557
137,18661.231773007104,389.22706511874384
138,18758.35347492643,419.9541711720446
139,18881.91175157616,403.18660569891017
140,18785.66337228998,394.79327953241335
141,18948.612482902678,400.46770334246264
142,19009.394453705278,384.1605255504682
143,19026.868979706815,383.94937308265605
144,19201.038774967707,415.2160477124702
145,19226.92192781031,394.8348077722623
146,19275.285158705912,389.19832736990674
147,19347.451601603796,401.1761581357229
148,19408.623209236786,392.82059341563985
149,19478.94683893957,408.20913743900275
150,19630.360861922294,406.6099090183845
151,19693.991183833106,394.2903636978351
152,19500.56885798982,396.59932963404066
153,19492.250471124844,394.2930378365619
154,19497.84979738181,407.30462195534653
155,19462.470097529156,408.76674666625
156,19389.55924348715,393.9335356723942
157,19406.211169395057,388.7296271202828
158,19396.868575890127,410.20163521240187
159,19543.67483910433,385.80271218051865
160,19593.143770712686,392.27599412525984
161,19739.260114986486,403.59076919989445
162,19800.17756822498,430.6790266771016
163,20108.630802200678,423.881333781487
164,20200.945381838075,416.36287929750927
165,20320.34175617568,407.3199750779254
166,20532.366723768835,407.885152583352
167,20824.5862953751,452.1948929941609
168,20840.80666698459,429.3151952224492
169,20984.386370119675,462.3255955896052
170,20978.28931382401,424.7788983531278
171,21062.132633934594,416.86819020942283
172,21159.0023341021,436.7882738228986
173,21175.507982754312,404.76465349610976
174,21178.45000407163,410.16803377220003
175,21371.203676147794,402.6142661626722
176,21335.34703535545,421.13704723265096
177,21396.181177449245,423.4405258977005
178,21577.15441309167,427.05654427059943
179,21621.668321641697,421.9994436800893
180,21765.570723640252,458.99579336867544
181,21724.547742360493,437.76921848242876
182,21877.769025675076,404.7077734925638
183,21952.767846519266,450.0778023965871
184,22023.99673635215,417.5986164744301
185,22003.927982518337,414.0957709708463
186,22148.529070296132,424.0657627215265
187,22202.05808410866,418.59365795871605
188,22373.527094261357,441.40630478460145
189,22442.80257966357,434.06414636117216
190,22505.46755358121,422.4669252895459
191,22670.54735854741,423.5986472334413
192,22645.4829850187,432.6669362678085
193,22850.11438476546,431.346901786238
194,22781.576517756155,443.3762859183616
195,22940.883286529708,443.01124352926075
196,23007.471985772496,421.8666884637526
197,23080.790924847224,445.3849404734973
198,23264.968342386714,463.66248281445144
199,23247.63363521877,432.5911648134526
200,23364.580093821496,432.0250361067521
201,23433.75498400469,445.7759822035347
202,23551.592937958627,457.2021998743558
203,23680.816903728428,459.19237982485373
204,23800.76047641332,444.4751599479688
205,23847.3994566762,446.55285017537096
206,23871.7709206498,447.04304988772685
207,24010.984121125282,436.24834864121993
208,24084.368093856006,454.0580644843269
209,24203.10554728024,447.2181761103556
210,24171.835241342993,441.3190942427022
211,24331.882565729884,458.4321232898305
212,24413.75127074721,441.9199211567362
213,24449.1307283568,441.11663271457866
214,24610.535873806075,472.0617239416089
215,24702.804590802927,444.1318721778623
216,24836.398189395193,445.9622546716061
217,24806.26636879008,453.8216050844153
218,24965.620231662448,471.1965216322897
219,25028.608348021426,445.79265661436074
220,25062.587518406097,447.6817004243317
221,25123.147535305892,476.08361574084256
222,25209.754266554322,454.4505034086163
223,25348.527446669592,473.1991667372144
224,25350.69483095931,492.39169867479046
225,25485.905061761234,446.8583481906256
226,25555.35102902685,474.59976022046345
227,25722.833773478764,479.84225518648776
228,25761.825728234508,466.6304060070882
229,25823.194613889613,453.8763200268903
230,25832.113044179954,471.65908830017895
231,25969.4474424395,493.62746355552645
232,26063.91623229784,483.4837938738771
233,26152.427703924237,480.49175817444524
234,26209.367232432414,472.91845999460344
235,26287.418747780157,479.0340686128588
236,26378.517969396355,503.65589743766947
237,26477.199066330428,473.05668820866623
238,26501.23528412123,487.6560404928006
239,26628.565228602543,471.16103747550915
240,26709.793996607663,467.36726653162856
241,26850.411950695154,473.62783140881635
242,26726.370173931224,488.0226035486051
243,27055.44592780978,484.8178917638645
244,26960.556719790933,502.88771035945564
245,27078.721571675524,452.874855286835
246,27085.61840616832,490.5674431313603
247,27183.517798919722,483.8149844583502
248,27352.85269099121,480.41531352175843
249,27394.56535354933,489.9796051552984
250,27455.217101242146,488.8142199317101
251,27399.61439091958,488.11502135566917
252,27170.812145885957,486.470427043226
253,27167.074518343456,459.2160747495613
254,26977.07996755621,481.1672302595889
255,26731.076502436496,491.3410409311243
256,26687.7988325914,476.5428942528089
257,26580.200698597753,489.5420126008408
258,26847.34921860314,494.7273439975734
259,26813.57912019312,468.3442427658746
260,27060.576761378685,512.3562001025604
261,27304.550778844696,499.577790302194
262,27820.36562086415,468.66640066460417
263,28564.920079266274,522.606748587413
264,28732.080492570974,521.2938854116007
265,28658.050426658596,499.5639217722477
266,28749.40715696542,483.53228062935545
267,28767.460369083637,498.46481694598776
268,28889.61430095118,491.8532408013227
269,29026.791424593262,514.0187064081041
270,29156.860817395434,504.3941198941934
271,29174.293205801918,526.0864938418588
272,29238.04100546397,510.0663437054575
