,DOWNSTREAM
435,0.03875
436,0.04125
437,0.03875
438,0.04125
439,0.03875
440,0.04125
441,0.03875
442,0.04125
443,0.03875
444,0.04125
445,0.03875
446,0.04125
447,0.03875
448,0.04125
449,0.03875
450,0.04125
451,0.03875
452,0.04125
453,0.03875
454,0.04125
455,0.03875
456,0.04125
457,0.03875
458,0.04125
459,0.03875
460,0.04125
461,0.03875
462,0.04125
463,0.03875
464,0.04125
465,0.03875
466,0.04125
467,0.03875
468,0.0415625
469,0.0384375
470,0.0415625
471,0.0384375
472,0.0415625
473,0.0384375
474,0.0415625
475,0.0384375
476,0.041875
477,0.038125
478,0.041875
479,0.0378125
480,0.0421875
481,0.0375
482,0.0425
483,0.0371875
484,0.0434375
485,0.035625
486,0.0459375
487,0.0296875
488,0.0734375
489,0.131875
490,0.1128125
491,0.1259375
492,0.1134375
493,0.1303125
494,0.0865625
495,0.028125
496,0.0471875
497,0.034375
498,0.045
499,0.0353125
500,0.045
501,0.0346875
502,0.04625
503,0.0321875
504,0.0521875
505,0.0040625
506,-0.0490625
507,-0.03625
508,-0.041875
509,-0.039375
510,-0.0396875
511,-0.0409375
512,-0.038125
513,-0.0428125
514,-0.0353125
515,-0.0490625
516,-0.0075
517,0.0528125
518,0.0321875
519,0.046875
520,0.0328125
521,0.0509375
522,0.00625
523,-0.0515625
524,-0.033125
525,-0.0453125
526,-0.0353125
527,-0.044375
528,-0.035625
529,-0.0446875
530,-0.0346875
531,-0.04625
532,-0.031875
533,-0.0528125
534,-0.00375
535,0.0484375
536,0.0371875
537,0.0403125
538,0.04125
539,0.0371875
540,0.0453125
541,0.03
542,0.0740625
543,0.1303125
544,0.1153125
545,0.121875
546,0.12
547,0.1175
548,0.1275
549,0.08875
550,0.0265625
551,0.0478125
552,0.0340625
553,0.0446875
554,0.03625
555,0.0434375
556,0.0371875
557,0.0425
558,0.0375
559,0.0421875
560,0.038125
561,0.041875
562,0.0384375
563,0.0415625
564,0.0384375
565,0.04125
566,0.03875
567,0.04125
568,0.0390625
569,0.0409375
570,0.0390625
571,0.0409375
572,0.039375
573,0.040625
574,0.039375
575,0.0403125
576,0.0396875
577,0.0403125
578,0.0396875
579,0.04
580,0.04
581,0.0396875
582,0.040625
583,0.039375
584,0.04125
585,0.038125
586,0.0425
587,0.035625
588,0.04875
589,0.0078125
590,-0.0528125
591,-0.0321875
592,-0.0459375
593,-0.035
594,-0.044375
595,-0.035625
596,-0.044375
597,-0.0353125
598,-0.045625
599,-0.0328125
600,-0.05125
601,-0.0053125
602,0.0503125
603,0.0346875
604,0.0434375
605,0.0375
606,0.0421875
607,0.038125
608,0.0415625
609,0.0384375
610,0.0415625
611,0.038125
612,0.0421875
613,0.036875
614,0.0446875
615,0.03125
616,0.071875
617,0.1334375
618,0.11125
619,0.1278125
620,0.1115625
621,0.1321875
622,0.0846875
623,0.03
624,0.045
625,0.036875
626,0.0421875
627,0.038125
628,0.0415625
629,0.03875
630,0.04125
631,0.03875
632,0.04125
633,0.03875
634,0.0415625
635,0.0384375
636,0.041875
637,0.0375
638,0.043125
639,0.0353125
640,0.0490625
641,0.0075
642,-0.0528125
643,-0.0321875
644,-0.04625
645,-0.0340625
646,-0.04625
647,-0.0325
648,-0.0515625
649,-0.005
650,0.05
651,0.035
652,0.043125
653,0.0378125
654,0.041875
655,0.03875
656,0.04125
657,0.0390625
658,0.040625
659,0.039375
660,0.040625
661,0.0396875
662,0.0403125
663,0.04
664,0.04
665,0.0403125
666,0.039375
667,0.04125
668,0.038125
669,0.04375
670,0.0321875
671,0.07125
672,0.13375
673,0.1109375
674,0.1275
675,0.1128125
676,0.1275
677,0.11125
678,0.1328125
679,0.08375
680,0.03125
681,0.04375
682,0.038125
683,0.0409375
684,0.0396875
685,0.0396875
686,0.040625
687,0.0390625
688,0.0409375
689,0.03875
690,0.0415625
691,0.0378125
692,0.0428125
693,0.0365625
694,0.0453125
695,0.0303125
696,0.0728125
697,0.1321875
698,0.1125
699,0.1265625
700,0.1128125
701,0.130625
702,0.08625
703,0.028125
704,0.0471875
705,0.034375
706,0.0453125
707,0.0346875
708,0.04625
709,0.0321875
710,0.0521875
711,0.004375
712,-0.0490625
713,-0.03625
714,-0.0415625
715,-0.0396875
716,-0.0390625
717,-0.0421875
718,-0.035625
719,-0.0490625
720,-0.0075
721,0.0521875
722,0.033125
723,0.045
724,0.03625
725,0.043125
726,0.0371875
727,0.0425
728,0.0378125
729,0.041875
730,0.038125
731,0.0415625
732,0.0384375
733,0.0415625
734,0.0384375
735,0.0415625
736,0.0384375
737,0.041875
738,0.0378125
739,0.0425
740,0.0365625
741,0.045
742,0.0309375
743,0.0725
744,0.1325
745,0.1125
746,0.1259375
747,0.1146875
748,0.125
749,0.1146875
750,0.12625
751,0.1121875
752,0.1321875
753,0.084375
754,0.030625
755,0.0440625
756,0.0378125
757,0.0409375
758,0.04
759,0.039375
760,0.04125
761,0.0378125
762,0.043125
763,0.035
764,0.0496875
765,0.006875
766,-0.0515625
767,-0.03375
768,-0.044375
769,-0.036875
770,-0.0425
771,-0.038125
772,-0.0415625
773,-0.03875
774,-0.0409375
775,-0.0396875
776,-0.04
777,-0.0403125
778,-0.0390625
779,-0.041875
780,-0.03625
781,-0.048125
782,-0.0084375
783,0.053125
784,0.031875
785,0.04625
786,0.034375
787,0.045
788,0.035
789,0.0453125
790,0.0340625
791,0.0475
792,0.028125
793,0.075
794,0.13
795,0.115
796,0.123125
