,DOWNSTREAM
0,-0.012979250000000008
1,0.009208249999999994
2,-0.004541750000000004
3,0.005458249999999991
4,-0.002354250000000009
5,0.003583249999999996
6,-0.0007917500000000077
7,0.0026457499999999953
8,0.0001457499999999931
9,0.0017082499999999945
10,0.0007707499999999937
11,0.0007707499999999937
12,0.0020207499999999948
13,-0.00047925000000000745
14,0.003583249999999996
15,-0.0036042500000000102
16,0.010145749999999995
17,-0.03172925000000001
18,-0.09110425
19,-0.07204175
20,-0.08360425
21,-0.07516675
22,-0.08172925
23,-0.07641675
24,-0.08079175000000001
25,-0.07735425
26,-0.08016675000000001
27,-0.07797925000000001
28,-0.07922925
29,-0.07891675000000001
30,-0.07829175000000001
31,-0.08047925000000002
32,-0.07547925
33,-0.08672925000000001
34,-0.04766675000000001
35,0.014833249999999992
36,-0.007666750000000007
37,0.007958249999999993
38,-0.005166750000000005
39,0.007020749999999992
40,-0.005479250000000005
41,0.008895749999999994
42,-0.010791750000000006
43,0.03639574999999999
44,0.09108325
45,0.07608324999999999
46,0.08420825
47,0.07889574999999999
48,0.08295825
49,0.07952074999999999
50,0.08264574999999999
51,0.07952074999999999
52,0.08264574999999999
53,0.07952074999999999
54,0.08264574999999999
55,0.07920825
56,0.08327074999999999
57,0.07827074999999999
58,0.08483325
59,0.07545824999999999
60,0.09108325
61,0.04764574999999999
62,-0.010479250000000006
63,0.007020749999999992
64,-0.00329175000000001
65,0.0038957499999999895
66,-0.001104250000000008
67,0.0029582499999999956
68,-0.00047925000000000745
69,0.002333249999999995
70,-0.00016675000000000717
71,0.0020207499999999948
72,0.0001457499999999931
73,0.0017082499999999945
74,0.0004582499999999934
75,0.0017082499999999945
76,0.0004582499999999934
77,0.0013957499999999942
78,0.001083249999999994
79,0.001083249999999994
80,0.001083249999999994
81,0.0007707499999999937
82,0.0017082499999999945
83,0.0004582499999999934
84,0.0017082499999999945
85,0.0001457499999999931
86,0.002333249999999995
87,-0.0007917500000000077
88,0.003583249999999996
89,-0.002354250000000002
