,DOWNSTREAM,DOWNSTREAM STD
0,-0.007413194444444441,0.04377774486766424
1,-0.009201388888888884,0.04721614544233889
2,-0.009027777777777773,0.04295797072987032
3,-0.008159722222222214,0.049408929192511525
4,-0.009861111111111112,0.03331318111897199
5,-0.0075868055555555515,0.025842531451260992
6,-0.010434027777777775,0.025331384178564068
7,-0.00675347222222222,0.025356216298130167
8,-0.01170138888888888,0.02531254762988965
9,-0.0030208333333333302,0.028079051973352347
10,-0.0014062499999999943,0.04098984805081822
11,0.00256944444444444,0.035745950193650095
12,-0.003975694444444441,0.03967995411033513
13,0.006579861111111109,0.03602848871294831
14,-0.019149305555555555,0.04398224635360743
15,-0.04026041666666666,0.055000616513274446
16,-0.028923611111111112,0.04481010064258689
17,-0.02906249999999999,0.050357338543045436
18,-0.017986111111111112,0.052025616167944815
19,-0.008454861111111114,0.05661997082444732
20,-0.004513888888888894,0.055679808966475536
21,-0.002916666666666668,0.05798585121365575
22,-0.007395833333333334,0.05428912439686036
23,0.0014583333333333323,0.060428249608063644
24,-0.02291666666666667,0.045852742102663095
25,-0.0471875,0.039401996917810024
26,-0.04701388888888888,0.04032625495069888
27,-0.02824652777777778,0.04109254710017115
28,-0.0009548611111111147,0.06589548031032123
29,0.00675347222222222,0.04354479889163707
30,0.045538194444444444,0.04079316231345194
31,0.0290625,0.039082494882619764
32,0.038697916666666665,0.040981641013673555
33,0.016458333333333332,0.028842882871882122
34,0.022517361111111106,0.03966308744769484
35,0.01022569444444444,0.02586435585959248
36,0.011406250000000003,0.026998314070949152
37,0.005624999999999998,0.023524376024904706
38,0.013125000000000001,0.02838708901801428
39,0.0013541666666666632,0.015645819462932156
40,0.005503472222222222,0.013261991301870736
41,0.007326388888888882,0.026225646404254514
42,0.012482638888888887,0.027123862347779037
43,0.00015624999999999667,0.01584985774230762
44,0.015416666666666672,0.016454047437738022
45,0.04638888888888888,0.046617955211173595
46,0.036267361111111104,0.0358137168057023
47,0.04274305555555555,0.043450681897183686
48,0.03746527777777777,0.03688189802608012
49,0.04251736111111111,0.04328378480120264
50,0.03696180555555555,0.036096689327700465
51,0.04494791666666667,0.04610410665194166
52,0.023975694444444445,0.02246375493937023
53,-0.009114583333333329,0.010900358564757297
54,-0.0073611111111111065,0.02954557123023665
55,-0.010069444444444436,0.022570432670672446
56,-0.007968749999999993,0.027092596572910844
57,-0.009600694444444436,0.023523639289457846
58,-0.008229166666666662,0.026488663717816257
59,-0.009427083333333326,0.023908065472096555
60,-0.00824652777777778,0.02620307041936128
61,-0.009444444444444443,0.024174871890898574
