Time,Ampl
-1.6317e-07,-0.00016
-1.6277e-07,0.00016
-1.6237e-07,-0.00024
-1.6197e-07,0.00018
-1.6157e-07,-0.0003
-1.6117e-07,-0.00028
-1.6077e-07,0.00032
-1.6037e-07,-0.0001
-1.5997e-07,-0.0002
-1.5957e-07,-6e-05
-1.5917e-07,-2e-05
-1.5877e-07,-0.00038
-1.5837e-07,4e-05
-1.5797e-07,-0.0001
-1.5757e-07,-4e-05
-1.5717e-07,-0.0002
-1.5677e-07,-0.00042
-1.5637e-07,0.00012
-1.5597e-07,-0.0002
-1.5557e-07,-0.0001
-1.5517e-07,-2e-05
-1.5477e-07,-0.00046
-1.5437e-07,-0.00024
-1.5397e-07,8e-05
-1.5357e-07,-0.00044
-1.5317e-07,-0.00026
-1.5277e-07,-0.0001
-1.5237e-07,0.0001
-1.5197e-07,-0.00024
-1.5157e-07,0.00018
-1.5117e-07,2e-05
-1.5077e-07,2e-05
-1.5037e-07,0.00012
-1.4997e-07,-0.00036
-1.4957e-07,0.0001
-1.4917e-07,-0.00026
-1.4877e-07,-0.00012
-1.4837e-07,-4e-05
-1.4797e-07,-2e-05
-1.4757e-07,0.00014
-1.4717e-07,-0.0004
-1.4677e-07,-0.00028
-1.4637e-07,-0.00018
-1.4597e-07,-0.0003
-1.4557e-07,-0.00024
-1.4517e-07,-0.00016
-1.4477e-07,8e-05
-1.4437e-07,-0.00014
-1.4397e-07,-0.00022
-1.4357e-07,-0.00014
-1.4317e-07,-8e-05
-1.4277e-07,-2e-05
-1.4237e-07,-0.00042
-1.4197e-07,-0.00012
-1.4157e-07,0.0002
-1.4117e-07,-0.00018
-1.4077e-07,-0.00012
-1.4037e-07,6e-05
-1.3997e-07,-0.00018
-1.3957e-07,-6e-05
-1.3917e-07,-0.00012
-1.3877e-07,-2e-05
-1.3837e-07,0.00022
-1.3797e-07,-0.00032
-1.3757e-07,-2e-05
-1.3717e-07,8e-05
-1.3677e-07,-0.00014
-1.3637e-07,8e-05
-1.3597e-07,-8e-05
-1.3557e-07,-4e-05
-1.3517e-07,-8e-05
-1.3477e-07,0.0001
-1.3437e-07,-0.00018
-1.3397e-07,-2e-05
-1.3357e-07,-0.0004
-1.3317e-07,-0.00018
-1.3277e-07,0.00024
-1.3237e-07,-0.00034
-1.3197e-07,-0.00018
-1.3157e-07,8e-05
-1.3117e-07,-0.00024
-1.3077e-07,6e-05
-1.3037e-07,-4e-05
-1.2997e-07,-0.00012
-1.2957e-07,-0.00016
-1.2917e-07,0
-1.2877e-07,-8e-05
-1.2837e-07,0.00014
-1.2797e-07,-0.0001
-1.2757e-07,-0.00024
-1.2717e-07,-6e-05
-1.2677e-07,8e-05
-1.2637e-07,-0.0004
-1.2597e-07,0
-1.2557e-07,-0.00018
-1.2517e-07,-0.00034
-1.2477e-07,0
-1.2437e-07,-0.00016
-1.2397e-07,-6e-05
-1.2357e-07,-0.00046
-1.2317e-07,-0.00028
-1.2277e-07,-6e-05
-1.2237e-07,-0.00016
-1.2197e-07,0.00014
-1.2157e-07,-0.00018
-1.2117e-07,4e-05
-1.2077e-07,-6e-05
-1.2037e-07,0
-1.1997e-07,-0.00024
-1.1957e-07,-0.00026
-1.1917e-07,-2e-05
-1.1877e-07,-8e-05
-1.1837e-07,-0.00012
-1.1797e-07,-0.00014
-1.1757e-07,-0.00014
-1.1717e-07,-4e-05
-1.1677e-07,-0.00014
-1.1637e-07,-2e-05
-1.1597e-07,-0.0002
-1.1557e-07,0.0001
-1.1517e-07,-0.0002
-1.1477e-07,-6e-05
-1.1437e-07,4e-05
-1.1397e-07,-0.00024
-1.1357e-07,0.00016
-1.1317e-07,-0.00016
-1.1277e-07,6e-05
-1.1237e-07,-0.00012
-1.1197e-07,-8e-05
-1.1157e-07,-4e-05
-1.1117e-07,-0.00026
-1.1077e-07,-6e-05
-1.1037e-07,-0.0003
-1.0997e-07,-0.0001
-1.0957e-07,0
-1.0917e-07,-6e-05
-1.0877e-07,-0.0002
-1.0837e-07,-0.0001
-1.0797e-07,0.00014
-1.0757e-07,-4e-05
-1.0717e-07,0.00014
-1.0677e-07,-6e-05
-1.0637e-07,-0.0002
-1.0597e-07,8e-05
-1.0557e-07,-0.00018
-1.0517e-07,-8e-05
-1.0477e-07,-8e-05
-1.0437e-07,-0.00054
-1.0397e-07,-0.00034
-1.0357e-07,-6e-05
-1.0317e-07,-0.00012
-1.0277e-07,-0.00022
-1.0237e-07,-0.00028
-1.0197e-07,0.0001
-1.0157e-07,-6e-05
-1.0117e-07,-0.00024
-1.0077e-07,-0.00022
-1.0037e-07,0
-9.99698e-08,-0.00024
-9.95698e-08,-0.00022
-9.91698e-08,-0.00032
-9.87698e-08,0.0001
-9.83698e-08,0.00026
-9.79698e-08,-0.00034
-9.75698e-08,-0.00022
-9.71698e-08,-0.00026
-9.67698e-08,-0.0003
-9.63698e-08,-0.00022
-9.59698e-08,-2e-05
-9.55698e-08,-0.0003
-9.51698e-08,-0.00016
-9.47698e-08,-8e-05
-9.43698e-08,-0.00046
-9.39698e-08,2e-05
-9.35698e-08,-0.0002
-9.31698e-08,-0.00018
-9.27698e-08,-0.00012
-9.23698e-08,-0.00014
-9.19698e-08,-2e-05
-9.15698e-08,-6e-05
-9.11698e-08,-0.0003
-9.07698e-08,-0.00064
-9.03698e-08,-0.00028
-8.99698e-08,-0.00012
-8.95698e-08,-0.00048
-8.91698e-08,0.00026
-8.87698e-08,-0.00012
-8.83698e-08,4e-05
-8.79698e-08,-0.00022
-8.75698e-08,-0.00038
-8.71698e-08,0.00024
-8.67698e-08,-6e-05
-8.63698e-08,-0.00032
-8.59698e-08,-0.00012
-8.55698e-08,-0.00016
-8.51698e-08,0.0002
-8.47698e-08,2e-05
-8.43698e-08,-0.00028
-8.39698e-08,-0.00014
-8.35698e-08,-0.00024
-8.31698e-08,-0.00022
-8.27698e-08,-0.00012
-8.23698e-08,-0.00014
-8.19698e-08,-0.0001
-8.15698e-08,-0.00034
-8.11698e-08,-0.0003
-8.07698e-08,0.00014
-8.03698e-08,-0.00016
-7.99698e-08,-4e-05
-7.95698e-08,2e-05
-7.91698e-08,0.0001
-7.87698e-08,-0.0002
-7.83698e-08,-0.00026
-7.79698e-08,0.0002
-7.75698e-08,-0.00054
-7.71698e-08,-2e-05
-7.67698e-08,-6e-05
-7.63698e-08,-0.00026
-7.59698e-08,-0.00018
-7.55698e-08,-0.00016
-7.51698e-08,-0.00016
-7.47698e-08,-0.0001
-7.43698e-08,-0.00024
-7.39698e-08,-0.00044
-7.35698e-08,-0.00048
-7.31698e-08,-0.0001
-7.27698e-08,0
-7.23698e-08,-0.0004
-7.19698e-08,-0.00028
-7.15698e-08,8e-05
-7.11698e-08,-0.00018
-7.07698e-08,-0.00014
-7.03698e-08,-6e-05
-6.99698e-08,-0.00036
-6.95698e-08,-4e-05
-6.91698e-08,8e-05
-6.87698e-08,-0.00024
-6.83698e-08,-0.00026
-6.79698e-08,-0.00024
-6.75698e-08,-0.00044
-6.71698e-08,-0.00032
-6.67698e-08,-0.00022
-6.63698e-08,-0.00014
-6.59698e-08,-0.0002
-6.55698e-08,-0.0003
-6.51698e-08,-4e-05
-6.47698e-08,-0.00014
-6.43698e-08,-0.0002
-6.39698e-08,-0.00036
-6.35698e-08,-0.00034
-6.31698e-08,2e-05
-6.27698e-08,-0.00032
-6.23698e-08,-0.00026
-6.19698e-08,-2e-05
-6.15698e-08,-0.0002
-6.11698e-08,-0.00014
-6.07698e-08,-0.00038
-6.03698e-08,-0.00022
-5.99698e-08,-0.00044
-5.95698e-08,-0.0001
-5.91698e-08,-0.00026
-5.87698e-08,-0.0002
-5.83698e-08,-4e-05
-5.79698e-08,2e-05
-5.75698e-08,-0.00036
-5.71698e-08,-0.00016
-5.67698e-08,-0.00034
-5.63698e-08,4e-05
-5.59698e-08,-6e-05
-5.55698e-08,-0.00016
-5.51698e-08,-0.00018
-5.47698e-08,-2e-05
-5.43698e-08,-0.00016
-5.39698e-08,0.00026
-5.35698e-08,0.00018
-5.31698e-08,-0.00014
-5.27698e-08,-0.00014
-5.23698e-08,8e-05
-5.19698e-08,0
-5.15698e-08,0.00018
-5.11698e-08,-0.00036
-5.07698e-08,0.0001
-5.03698e-08,-0.00046
-4.99698e-08,0.0001
-4.95698e-08,0
-4.91698e-08,-0.0002
-4.87698e-08,-0.0002
-4.83698e-08,-0.00012
-4.79698e-08,-0.00018
-4.75698e-08,0.00018
-4.71698e-08,0.00032
-4.67698e-08,-0.00034
-4.63698e-08,-0.0001
-4.59698e-08,0.0001
-4.55698e-08,-0.00036
-4.51698e-08,0.0001
-4.47698e-08,-0.00022
-4.43698e-08,-6e-05
-4.39698e-08,4e-05
-4.35698e-08,-0.00014
-4.31698e-08,-0.0003
-4.27698e-08,-6e-05
-4.23698e-08,-0.00018
-4.19698e-08,-0.0004
-4.15698e-08,-0.00012
-4.11698e-08,-0.0006
-4.07698e-08,-0.0001
-4.03698e-08,-0.00016
-3.99698e-08,-0.00042
-3.95698e-08,-0.00024
-3.91698e-08,-0.00026
-3.87698e-08,-0.00026
-3.83698e-08,0
-3.79698e-08,0
-3.75698e-08,-8e-05
-3.71698e-08,-0.00016
-3.67698e-08,-4e-05
-3.63698e-08,-0.00018
-3.59698e-08,-0.0001
-3.55698e-08,-6e-05
-3.51698e-08,-8e-05
-3.47698e-08,-6e-05
-3.43698e-08,-8e-05
-3.39698e-08,0.0001
-3.35698e-08,-0.00058
-3.31698e-08,-8e-05
-3.27698e-08,-0.0001
-3.23698e-08,-0.00022
-3.19698e-08,-0.0001
-3.15698e-08,0
-3.11698e-08,-0.00016
-3.07698e-08,4e-05
-3.03698e-08,-0.00034
-2.99698e-08,-6e-05
