TIMESTAMPS,TIMES,FILES
1748958992,2025-06-03 15:56:32,1748958980535000_shot_03-06-2025-958987_.asc
1748959016,2025-06-03 15:56:56,1748959004535000_shot_03-06-2025-959011_.asc
1748959040,2025-06-03 15:57:20,1748959028535000_shot_03-06-2025-959035_.asc
1748959064,2025-06-03 15:57:44,1748959052535000_shot_03-06-2025-959059_.asc
1748959088,2025-06-03 15:58:08,1748959076535000_shot_03-06-2025-959083_.asc
1748959112,2025-06-03 15:58:32,1748959100535000_shot_03-06-2025-959107_.asc
1748959136,2025-06-03 15:58:56,1748959124535000_shot_03-06-2025-959131_.asc
1748959160,2025-06-03 15:59:20,1748959148535000_shot_03-06-2025-959155_.asc
1748959184,2025-06-03 15:59:44,1748959172535000_shot_03-06-2025-959179_.asc
1748959208,2025-06-03 16:00:08,1748959196535000_shot_03-06-2025-959203_.asc
1748959232,2025-06-03 16:00:32,1748959220535000_shot_03-06-2025-959227_.asc
1748959256,2025-06-03 16:00:56,1748959244535000_shot_03-06-2025-959251_.asc
1748959280,2025-06-03 16:01:20,1748959268535000_shot_03-06-2025-959275_.asc
1748959304,2025-06-03 16:01:44,1748959292535000_shot_03-06-2025-959299_.asc
1748959328,2025-06-03 16:02:08,1748959316535000_shot_03-06-2025-959323_.asc
1748959352,2025-06-03 16:02:32,1748959340535000_shot_03-06-2025-959347_.asc
1748959376,2025-06-03 16:02:56,1748959364535000_shot_03-06-2025-959371_.asc
1748959400,2025-06-03 16:03:20,1748959388535000_shot_03-06-2025-959395_.asc
1748959424,2025-06-03 16:03:44,1748959412535000_shot_03-06-2025-959419_.asc
1748959448,2025-06-03 16:04:08,1748959436535000_shot_03-06-2025-959443_.asc
1748959472,2025-06-03 16:04:32,1748959460535000_shot_03-06-2025-959467_.asc
1748959496,2025-06-03 16:04:56,1748959484535000_shot_03-06-2025-959491_.asc
1748959520,2025-06-03 16:05:20,1748959508535000_shot_03-06-2025-959515_.asc
1748959544,2025-06-03 16:05:44,1748959532535000_shot_03-06-2025-959539_.asc
1748959568,2025-06-03 16:06:08,1748959556535000_shot_03-06-2025-959563_.asc
1748959712,2025-06-03 16:08:32,1748959700535000_shot_03-06-2025-959707_.asc
1748959736,2025-06-03 16:08:56,1748959724535000_shot_03-06-2025-959731_.asc
1748959760,2025-06-03 16:09:20,1748959748535000_shot_03-06-2025-959755_.asc
1748959784,2025-06-03 16:09:44,1748959772535000_shot_03-06-2025-959779_.asc
1748959808,2025-06-03 16:10:08,1748959796535000_shot_03-06-2025-959803_.asc
1748959832,2025-06-03 16:10:32,1748959820535000_shot_03-06-2025-959827_.asc
1748959856,2025-06-03 16:10:56,1748959844535000_shot_03-06-2025-959851_.asc
1748959880,2025-06-03 16:11:20,1748959868535000_shot_03-06-2025-959875_.asc
1748959904,2025-06-03 16:11:44,1748959892535000_shot_03-06-2025-959899_.asc
1748959928,2025-06-03 16:12:08,1748959916535000_shot_03-06-2025-959923_.asc
1748959952,2025-06-03 16:12:32,1748959940535000_shot_03-06-2025-959947_.asc
1748959976,2025-06-03 16:12:56,1748959964535000_shot_03-06-2025-959971_.asc
1748960000,2025-06-03 16:13:20,1748959988535000_shot_03-06-2025-959995_.asc
1748960024,2025-06-03 16:13:44,1748960012535000_shot_03-06-2025-960019_.asc
1748960048,2025-06-03 16:14:08,1748960036535000_shot_03-06-2025-960043_.asc
1748960072,2025-06-03 16:14:32,1748960060535000_shot_03-06-2025-960067_.asc
1748960096,2025-06-03 16:14:56,1748960084535000_shot_03-06-2025-960091_.asc
1748960120,2025-06-03 16:15:20,1748960108535000_shot_03-06-2025-960115_.asc
1748960144,2025-06-03 16:15:44,1748960132535000_shot_03-06-2025-960139_.asc
1748960168,2025-06-03 16:16:08,1748960156535000_shot_03-06-2025-960163_.asc
1748960192,2025-06-03 16:16:32,1748960180535000_shot_03-06-2025-960187_.asc
1748960216,2025-06-03 16:16:56,1748960204535000_shot_03-06-2025-960211_.asc
1748960240,2025-06-03 16:17:20,1748960228535000_shot_03-06-2025-960235_.asc
1748960264,2025-06-03 16:17:44,1748960252535000_shot_03-06-2025-960259_.asc
1748960288,2025-06-03 16:18:08,1748960276535000_shot_03-06-2025-960283_.asc
1748960312,2025-06-03 16:18:32,1748960300535000_shot_03-06-2025-960307_.asc
1748960336,2025-06-03 16:18:56,1748960324535000_shot_03-06-2025-960331_.asc
1748960360,2025-06-03 16:19:20,1748960348535000_shot_03-06-2025-960355_.asc
1748982104,2025-06-03 22:21:44,1748982092535000_shot_03-06-2025-982099_.asc
1748982344,2025-06-03 22:25:44,1748982332535000_shot_03-06-2025-982339_.asc
1748982488,2025-06-03 22:28:08,1748982476535000_shot_03-06-2025-982483_.asc
1748982632,2025-06-03 22:30:32,1748982620535000_shot_03-06-2025-982627_.asc
1748982752,2025-06-03 22:32:32,1748982740535000_shot_03-06-2025-982747_.asc
1748983016,2025-06-03 22:36:56,1748983004535000_shot_03-06-2025-983011_.asc
1749022851,2025-06-04 09:40:51,1749022839735000_bkg_04-06-2025-20002_.asc
1749022852,2025-06-04 09:40:52,1749022839735000_bkg_04-06-2025-20014_.asc
1749022853,2025-06-04 09:40:53,1749022839735000_bkg_04-06-2025-20005_.asc
1749022854,2025-06-04 09:40:54,1749022839735000_bkg_04-06-2025-20008_.asc
1749023427,2025-06-04 09:50:27,1749023415735000_shot_04-06-2025-23423_.asc
1749023571,2025-06-04 09:52:51,1749023559735000_shot_04-06-2025-23567_.asc
1749037133,2025-06-04 13:38:53,1749037120935000_shot_04-06-2025-37128_.asc
1749037134,2025-06-04 13:38:54,1749037120935000_shot_04-06-2025-36759_.asc
1749037135,2025-06-04 13:38:55,1749037120935000_shot_04-06-2025-36763_.asc
1749037565,2025-06-04 13:46:05,1749037552935000_shot_04-06-2025-37560_.asc
1749037829,2025-06-04 13:50:29,1749037816935000_shot_04-06-2025-37824_.asc
1749038045,2025-06-04 13:54:05,1749038032935000_shot_04-06-2025-38040_.asc
1749038477,2025-06-04 14:01:17,1749038464935000_shot_04-06-2025-38472_.asc
1749038621,2025-06-04 14:03:41,1749038608935000_shot_04-06-2025-38616_.asc
1749038765,2025-06-04 14:06:05,1749038752935000_shot_04-06-2025-38760_.asc
1749038933,2025-06-04 14:08:53,1749038920935000_shot_04-06-2025-38928_.asc
1749039053,2025-06-04 14:10:53,1749039040935000_shot_04-06-2025-39048_.asc
1749039389,2025-06-04 14:16:29,1749039376935000_shot_04-06-2025-39384_.asc
1749039533,2025-06-04 14:18:53,1749039520935000_shot_04-06-2025-39528_.asc
1749039629,2025-06-04 14:20:29,1749039616935000_shot_04-06-2025-39624_.asc
1749039773,2025-06-04 14:22:53,1749039760935000_shot_04-06-2025-39768_.asc
1749039869,2025-06-04 14:24:29,1749039856935000_shot_04-06-2025-39864_.asc
1749040013,2025-06-04 14:26:53,1749040000935000_shot_04-06-2025-40008_.asc
1749040085,2025-06-04 14:28:05,1749040072935000_shot_04-06-2025-40080_.asc
1749040157,2025-06-04 14:29:17,1749040144935000_shot_04-06-2025-40152_.asc
1749040229,2025-06-04 14:30:29,1749040216935000_shot_04-06-2025-40224_.asc
1749040301,2025-06-04 14:31:41,1749040288935000_shot_04-06-2025-40296_.asc
1749040517,2025-06-04 14:35:17,1749040504935000_shot_04-06-2025-40512_.asc
1749040613,2025-06-04 14:36:53,1749040600935000_shot_04-06-2025-40608_.asc
1749040877,2025-06-04 14:41:17,1749040864935000_shot_04-06-2025-40872_.asc
1749040997,2025-06-04 14:43:17,1749040984935000_shot_04-06-2025-40992_.asc
1749041093,2025-06-04 14:44:53,1749041080935000_shot_04-06-2025-41088_.asc
1749041189,2025-06-04 14:46:29,1749041176935000_shot_04-06-2025-41184_.asc
1749041333,2025-06-04 14:48:53,1749041320935000_shot_04-06-2025-41328_.asc
1749041429,2025-06-04 14:50:29,1749041416935000_shot_04-06-2025-41424_.asc
1749041525,2025-06-04 14:52:05,1749041512935000_shot_04-06-2025-41520_.asc
1749042485,2025-06-04 15:08:05,1749042472935000_shot_04-06-2025-42480_.asc
1749042605,2025-06-04 15:10:05,1749042592935000_shot_04-06-2025-42600_.asc
1749042749,2025-06-04 15:12:29,1749042736935000_shot_04-06-2025-42744_.asc
1749042797,2025-06-04 15:13:17,1749042784935000_shot_04-06-2025-42792_.asc
1749042869,2025-06-04 15:14:29,1749042856935000_shot_04-06-2025-42864_.asc
1749059453,2025-06-04 19:50:53,1749059440935000_shot_04-06-2025-59383_.asc
1749059597,2025-06-04 19:53:17,1749059584935000_shot_04-06-2025-59592_.asc
1749059693,2025-06-04 19:54:53,1749059680935000_shot_04-06-2025-59688_.asc
1749059789,2025-06-04 19:56:29,1749059776935000_shot_04-06-2025-59784_.asc
1749109440,2025-06-05 09:44:00,1749109428135000_shot_05-06-2025-109435_.asc
1749109632,2025-06-05 09:47:12,1749109620135000_shot_05-06-2025-109627_.asc
1749109776,2025-06-05 09:49:36,1749109764135000_shot_05-06-2025-109771_.asc
1749109848,2025-06-05 09:50:48,1749109836135000_shot_05-06-2025-109843_.asc
1749110136,2025-06-05 09:55:36,1749110124135000_shot_05-06-2025-110131_.asc
1749111288,2025-06-05 10:14:48,1749111276135000_shot_05-06-2025-111283_.asc
1749111480,2025-06-05 10:18:00,1749111468135000_shot_05-06-2025-111475_.asc
1749111576,2025-06-05 10:19:36,1749111564135000_shot_05-06-2025-111571_.asc
1749111768,2025-06-05 10:22:48,1749111756135000_shot_05-06-2025-111763_.asc
1749111912,2025-06-05 10:25:12,1749111900135000_shot_05-06-2025-111907_.asc
1749112008,2025-06-05 10:26:48,1749111996135000_shot_05-06-2025-112003_.asc
1749112104,2025-06-05 10:28:24,1749112092135000_shot_05-06-2025-112099_.asc
1749112176,2025-06-05 10:29:36,1749112164135000_shot_05-06-2025-112171_.asc
1749112272,2025-06-05 10:31:12,1749112260135000_shot_05-06-2025-112267_.asc
1749112368,2025-06-05 10:32:48,1749112356135000_shot_05-06-2025-112363_.asc
1749112440,2025-06-05 10:34:00,1749112428135000_shot_05-06-2025-112435_.asc
1749112800,2025-06-05 10:40:00,1749112788135000_shot_05-06-2025-112795_.asc
1749112872,2025-06-05 10:41:12,1749112860135000_shot_05-06-2025-112867_.asc
1749112944,2025-06-05 10:42:24,1749112932135000_shot_05-06-2025-112939_.asc
1749113064,2025-06-05 10:44:24,1749113052135000_shot_05-06-2025-113059_.asc
1749113112,2025-06-05 10:45:12,1749113100135000_shot_05-06-2025-113107_.asc
1749113160,2025-06-05 10:46:00,1749113148135000_shot_05-06-2025-113155_.asc
1749113400,2025-06-05 10:50:00,1749113388135000_shot_05-06-2025-113395_.asc
1749113496,2025-06-05 10:51:36,1749113484135000_shot_05-06-2025-113491_.asc
1749113592,2025-06-05 10:53:12,1749113580135000_shot_05-06-2025-113587_.asc
1749113688,2025-06-05 10:54:48,1749113676135000_shot_05-06-2025-113683_.asc
1749113784,2025-06-05 10:56:24,1749113772135000_shot_05-06-2025-113779_.asc
1749115272,2025-06-05 11:21:12,1749115260135000_shot_05-06-2025-115267_.asc
1749116832,2025-06-05 11:47:12,1749116820135000_shot_05-06-2025-116827_.asc
1749116856,2025-06-05 11:47:36,1749116844135000_shot_05-06-2025-116851_.asc
1749117120,2025-06-05 11:52:00,1749117108135000_shot_05-06-2025-117115_.asc
1749117216,2025-06-05 11:53:36,1749117204135000_shot_05-06-2025-117211_.asc
1749117312,2025-06-05 11:55:12,1749117300135000_shot_05-06-2025-117307_.asc
1749117408,2025-06-05 11:56:48,1749117396135000_shot_05-06-2025-117403_.asc
1749117504,2025-06-05 11:58:24,1749117492135000_shot_05-06-2025-117499_.asc
1749117600,2025-06-05 12:00:00,1749117588135000_shot_05-06-2025-117595_.asc
1749117672,2025-06-05 12:01:12,1749117660135000_shot_05-06-2025-117667_.asc
1749117744,2025-06-05 12:02:24,1749117732135000_shot_05-06-2025-117739_.asc
1749117816,2025-06-05 12:03:36,1749117804135000_shot_05-06-2025-117811_.asc
1749117888,2025-06-05 12:04:48,1749117876135000_shot_05-06-2025-117883_.asc
1749118056,2025-06-05 12:07:36,1749118044135000_shot_05-06-2025-118051_.asc
1749118152,2025-06-05 12:09:12,1749118140135000_shot_05-06-2025-118147_.asc
1749118248,2025-06-05 12:10:48,1749118236135000_shot_05-06-2025-118243_.asc
1749118392,2025-06-05 12:13:12,1749118380135000_shot_05-06-2025-118387_.asc
1749118488,2025-06-05 12:14:48,1749118476135000_shot_05-06-2025-118483_.asc
1749118560,2025-06-05 12:16:00,1749118548135000_shot_05-06-2025-118555_.asc
1749118704,2025-06-05 12:18:24,1749118692135000_shot_05-06-2025-118699_.asc
1749118776,2025-06-05 12:19:36,1749118764135000_shot_05-06-2025-118771_.asc
1749118848,2025-06-05 12:20:48,1749118836135000_shot_05-06-2025-118843_.asc
1749118896,2025-06-05 12:21:36,1749118884135000_shot_05-06-2025-118891_.asc
1749119064,2025-06-05 12:24:24,1749119052135000_shot_05-06-2025-119059_.asc
