TIMESTAMPS,TIMES,FILES
1749118375,2025-06-05 12:12:55,FB3streak_4_6_089.dac
1749118472,2025-06-05 12:14:32,FB3streak_4_6_090.dac
1749118573,2025-06-05 12:16:13,FB3streak_4_6_091.dac
1749118680,2025-06-05 12:18:00,FB3streak_4_6_092.dac
1749118757,2025-06-05 12:19:17,FB3streak_4_6_093.dac
1749118826,2025-06-05 12:20:26,FB3streak_4_6_094.dac
1749119044,2025-06-05 12:24:04,FB3streak_4_6_095.dac
1749119114,2025-06-05 12:25:14,FB3streak_4_6_096.dac
1749119182,2025-06-05 12:26:22,FB3streak_4_6_097.dac
1749119254,2025-06-05 12:27:34,FB3streak_4_6_098.dac
1749119327,2025-06-05 12:28:47,FB3streak_4_6_099.dac
1749119446,2025-06-05 12:30:46,FB3streak_4_6_100.dac
1749119540,2025-06-05 12:32:20,FB3streak_4_6_101.dac
1749119613,2025-06-05 12:33:33,FB3streak_4_6_102.dac
1749119708,2025-06-05 12:35:08,FB3streak_4_6_103.dac
1749119785,2025-06-05 12:36:25,FB3streak_4_6_104.dac
1749119953,2025-06-05 12:39:13,FB3streak_4_6_105.dac
1749120052,2025-06-05 12:40:52,FB3streak_4_6_106.dac
1749120166,2025-06-05 12:42:46,FB3streak_4_6_107.dac
1749120288,2025-06-05 12:44:48,FB3streak_4_6_108.dac
1749120385,2025-06-05 12:46:25,FB3streak_4_6_109.dac
1749147788,2025-06-05 20:23:08,FB3streak_4_6_110.dac
1749147875,2025-06-05 20:24:35,FB3streak_4_6_111.dac
1749147991,2025-06-05 20:26:31,FB3streak_4_6_112.dac
1749148464,2025-06-05 20:34:24,FB3streak_4_6_113.dac
1749148782,2025-06-05 20:39:42,FB3streak_4_6_114.dac
1749148954,2025-06-05 20:42:34,FB3streak_4_6_115.dac
1749149126,2025-06-05 20:45:26,FB3streak_4_6_116.dac
1749149195,2025-06-05 20:46:35,FB3streak_4_6_117.dac
1749149268,2025-06-05 20:47:48,FB3streak_4_6_118.dac
1749149333,2025-06-05 20:48:53,FB3streak_4_6_119.dac
1749149410,2025-06-05 20:50:10,FB3streak_4_6_120.dac
1749149746,2025-06-05 20:55:46,FB3streak_4_6_121.dac
1749149818,2025-06-05 20:56:58,FB3streak_4_6_122.dac
1749149917,2025-06-05 20:58:37,FB3streak_4_6_123.dac
1749150014,2025-06-05 21:00:14,FB3streak_4_6_124.dac
1749150104,2025-06-05 21:01:44,FB3streak_4_6_125.dac
1749152431,2025-06-05 21:40:31,FB3streak_4_6_126.dac
1749152529,2025-06-05 21:42:09,FB3streak_4_6_127.dac
1749152595,2025-06-05 21:43:15,FB3streak_4_6_128.dac
1749152690,2025-06-05 21:44:50,FB3streak_4_6_129.dac
1749152773,2025-06-05 21:46:13,FB3streak_4_6_130.dac
1749153134,2025-06-05 21:52:14,FB3streak_4_6_131.dac
1749153199,2025-06-05 21:53:19,FB3streak_4_6_132.dac
1749153267,2025-06-05 21:54:27,FB3streak_4_6_133.dac
1749153340,2025-06-05 21:55:40,FB3streak_4_6_134.dac
1749153411,2025-06-05 21:56:51,FB3streak_4_6_135.dac
